/home/stevechang/Workspace/Log/teraterm_240624_143819.log
Index       Time                           Information     FAA        (Block, Page, Die, Frag)
----------------------------------------------------------------------------------------------
1070557,40: [Tue Jun 25 06:33:52.018 2024] EH-RAID-XOR-NG: 33c80f84 4 (  679,    f,  10,    4)
1071056,40: [Tue Jun 25 06:34:30.652 2024] EH-RAID-XOR-NG: 33c80fee 1 (  679,    f,  1d,    6)
1070619,40: [Tue Jun 25 06:34:23.426 2024] EH-RAID-XOR-NG: 33c80fef 1 (  679,    f,  1d,    7)
1071240,40: [Tue Jun 25 06:34:31.134 2024] EH-RAID-XOR-NG: 33c87ec5 1 (  679,   7e,  18,    5)
1071245,40: [Tue Jun 25 06:34:31.163 2024] EH-RAID-XOR-NG: 33c87ec6 1 (  679,   7e,  18,    6)
1070960,40: [Tue Jun 25 06:34:27.149 2024] EH-RAID-XOR-NG: 33c87ec7 1 (  679,   7e,  18,    7)
1070972,40: [Tue Jun 25 06:34:27.170 2024] EH-RAID-XOR-NG: 33c87ee4 1 (  679,   7e,  1c,    4)
1071270,40: [Tue Jun 25 06:34:31.226 2024] EH-RAID-XOR-NG: 33c87ee6 1 (  679,   7e,  1c,    6)
1071273,40: [Tue Jun 25 06:34:31.226 2024] EH-RAID-XOR-NG: 33c87ee7 1 (  679,   7e,  1c,    7)
1071303,40: [Tue Jun 25 06:34:31.303 2024] EH-RAID-XOR-NG: 33c91014 9 (  679,  110,   2,    4)
1071328,40: [Tue Jun 25 06:34:31.364 2024] EH-RAID-XOR-NG: 33c91015 9 (  679,  110,   2,    5)
1071166,40: [Tue Jun 25 06:34:30.957 2024] EH-RAID-XOR-NG: 33c91016 9 (  679,  110,   2,    6)
1071366,40: [Tue Jun 25 06:34:31.463 2024] EH-RAID-XOR-NG: 33c91017 9 (  679,  110,   2,    7)
1071301,40: [Tue Jun 25 06:34:31.292 2024] EH-RAID-XOR-NG: 33c91034 8 (  679,  110,   6,    4)
1071326,40: [Tue Jun 25 06:34:31.351 2024] EH-RAID-XOR-NG: 33c91035 8 (  679,  110,   6,    5)
1071345,40: [Tue Jun 25 06:34:31.399 2024] EH-RAID-XOR-NG: 33c91036 8 (  679,  110,   6,    6)
1071364,40: [Tue Jun 25 06:34:31.463 2024] EH-RAID-XOR-NG: 33c91037 8 (  679,  110,   6,    7)
1071299,40: [Tue Jun 25 06:34:31.292 2024] EH-RAID-XOR-NG: 33c91044 7 (  679,  110,   8,    4)
1071324,40: [Tue Jun 25 06:34:31.351 2024] EH-RAID-XOR-NG: 33c91045 7 (  679,  110,   8,    5)
1071343,40: [Tue Jun 25 06:34:31.399 2024] EH-RAID-XOR-NG: 33c91046 7 (  679,  110,   8,    6)
1071362,40: [Tue Jun 25 06:34:31.460 2024] EH-RAID-XOR-NG: 33c91047 7 (  679,  110,   8,    7)
1071297,40: [Tue Jun 25 06:34:31.273 2024] EH-RAID-XOR-NG: 33c91054 6 (  679,  110,   a,    4)
1071322,40: [Tue Jun 25 06:34:31.335 2024] EH-RAID-XOR-NG: 33c91055 6 (  679,  110,   a,    5)
1071341,40: [Tue Jun 25 06:34:31.399 2024] EH-RAID-XOR-NG: 33c91056 6 (  679,  110,   a,    6)
1071360,40: [Tue Jun 25 06:34:31.460 2024] EH-RAID-XOR-NG: 33c91057 6 (  679,  110,   a,    7)
1071295,40: [Tue Jun 25 06:34:31.273 2024] EH-RAID-XOR-NG: 33c91074 5 (  679,  110,   e,    4)
1071320,40: [Tue Jun 25 06:34:31.335 2024] EH-RAID-XOR-NG: 33c91075 5 (  679,  110,   e,    5)
1071070,40: [Tue Jun 25 06:34:30.700 2024] EH-RAID-XOR-NG: 33c91076 5 (  679,  110,   e,    6)
1071264,40: [Tue Jun 25 06:34:31.212 2024] EH-RAID-XOR-NG: 33c91077 5 (  679,  110,   e,    7)
1071293,40: [Tue Jun 25 06:34:31.273 2024] EH-RAID-XOR-NG: 33c91084 4 (  679,  110,  10,    4)
1071318,40: [Tue Jun 25 06:34:31.335 2024] EH-RAID-XOR-NG: 33c91085 4 (  679,  110,  10,    5)
1071337,40: [Tue Jun 25 06:34:31.397 2024] EH-RAID-XOR-NG: 33c91086 4 (  679,  110,  10,    6)
1071356,40: [Tue Jun 25 06:34:31.431 2024] EH-RAID-XOR-NG: 33c91087 4 (  679,  110,  10,    7)
1071291,40: [Tue Jun 25 06:34:31.257 2024] EH-RAID-XOR-NG: 33c910a4 3 (  679,  110,  14,    4)
1071229,40: [Tue Jun 25 06:34:31.117 2024] EH-RAID-XOR-NG: 33c910a5 6 (  679,  110,  14,    5)
1071154,40: [Tue Jun 25 06:34:30.924 2024] EH-RAID-XOR-NG: 33c910a6 3 (  679,  110,  14,    6)
1071354,40: [Tue Jun 25 06:34:31.431 2024] EH-RAID-XOR-NG: 33c910a7 3 (  679,  110,  14,    7)
1071377,40: [Tue Jun 25 06:34:31.491 2024] EH-RAID-XOR-NG: 33c910ac 2 (  679,  110,  15,    4)
1071400,40: [Tue Jun 25 06:34:31.557 2024] EH-RAID-XOR-NG: 33c910ad 1 (  679,  110,  15,    5)
1071421,40: [Tue Jun 25 06:34:31.604 2024] EH-RAID-XOR-NG: 33c910ae 2 (  679,  110,  15,    6)
1071440,40: [Tue Jun 25 06:34:31.652 2024] EH-RAID-XOR-NG: 33c910af 2 (  679,  110,  15,    7)
1071289,40: [Tue Jun 25 06:34:31.257 2024] EH-RAID-XOR-NG: 33c910cc 2 (  679,  110,  19,    4)
1071314,40: [Tue Jun 25 06:34:31.317 2024] EH-RAID-XOR-NG: 33c910cd 2 (  679,  110,  19,    5)
1071333,40: [Tue Jun 25 06:34:31.364 2024] EH-RAID-XOR-NG: 33c910ce 2 (  679,  110,  19,    6)
1071352,40: [Tue Jun 25 06:34:31.431 2024] EH-RAID-XOR-NG: 33c910cf 2 (  679,  110,  19,    7)
1071554,40: [Tue Jun 25 06:34:31.950 2024] EH-RAID-XOR-NG: 33c910ec 1 (  679,  110,  1d,    4)
1071312,40: [Tue Jun 25 06:34:31.317 2024] EH-RAID-XOR-NG: 33c910ed 1 (  679,  110,  1d,    5)
1071331,40: [Tue Jun 25 06:34:31.364 2024] EH-RAID-XOR-NG: 33c910ee 1 (  679,  110,  1d,    6)
1071350,40: [Tue Jun 25 06:34:31.431 2024] EH-RAID-XOR-NG: 33c910ef 1 (  679,  110,  1d,    7)
1072150,40: [Tue Jun 25 06:34:34.782 2024] EH-RAID-XOR-NG: 33c96784 4 (  679,  167,  10,    4)
1072165,40: [Tue Jun 25 06:34:34.819 2024] EH-RAID-XOR-NG: 33c96785 4 (  679,  167,  10,    5)
1072174,40: [Tue Jun 25 06:34:34.848 2024] EH-RAID-XOR-NG: 33c96786 4 (  679,  167,  10,    6)
1072183,40: [Tue Jun 25 06:34:34.879 2024] EH-RAID-XOR-NG: 33c96787 4 (  679,  167,  10,    7)
1072148,40: [Tue Jun 25 06:34:34.770 2024] EH-RAID-XOR-NG: 33c967a4 3 (  679,  167,  14,    4)
1072038,40: [Tue Jun 25 06:34:34.498 2024] EH-RAID-XOR-NG: 33c967a5 3 (  679,  167,  14,    5)
1072172,40: [Tue Jun 25 06:34:34.848 2024] EH-RAID-XOR-NG: 33c967a6 3 (  679,  167,  14,    6)
1072105,40: [Tue Jun 25 06:34:34.675 2024] EH-RAID-XOR-NG: 33c967a7 3 (  679,  167,  14,    7)
1072193,40: [Tue Jun 25 06:34:34.896 2024] EH-RAID-XOR-NG: 33c967ac 2 (  679,  167,  15,    4)
1072207,40: [Tue Jun 25 06:34:34.944 2024] EH-RAID-XOR-NG: 33c967ad 2 (  679,  167,  15,    5)
1072216,40: [Tue Jun 25 06:34:34.975 2024] EH-RAID-XOR-NG: 33c967ae 2 (  679,  167,  15,    6)
1072225,40: [Tue Jun 25 06:34:35.003 2024] EH-RAID-XOR-NG: 33c967af 2 (  679,  167,  15,    7)
1072146,40: [Tue Jun 25 06:34:34.770 2024] EH-RAID-XOR-NG: 33c967cc 2 (  679,  167,  19,    4)
1072205,40: [Tue Jun 25 06:34:34.927 2024] EH-RAID-XOR-NG: 33c967cd 1 (  679,  167,  19,    5)
1072170,40: [Tue Jun 25 06:34:34.832 2024] EH-RAID-XOR-NG: 33c967ce 2 (  679,  167,  19,    6)
1072179,40: [Tue Jun 25 06:34:34.861 2024] EH-RAID-XOR-NG: 33c967cf 2 (  679,  167,  19,    7)
1072144,40: [Tue Jun 25 06:34:34.770 2024] EH-RAID-XOR-NG: 33c967ec 1 (  679,  167,  1d,    4)
1072302,40: [Tue Jun 25 06:35:05.881 2024] EH-RAID-XOR-NG: 33c967ed 1 (  679,  167,  1d,    5)
1072168,40: [Tue Jun 25 06:34:34.832 2024] EH-RAID-XOR-NG: 33c967ee 1 (  679,  167,  1d,    6)
1072320,40: [Tue Jun 25 06:35:15.746 2024] EH-RAID-XOR-NG: 33c967ef 1 (  679,  167,  1d,    7)
